E,coh
2.0511600000e-04,9.638886e-01
2.0701400000e-04,9.625013e-01
2.0893000000e-04,9.611174e-01
2.1086300000e-04,9.597368e-01
2.1281400000e-04,9.580186e-01
2.1478300000e-04,9.563071e-01
2.1677000000e-04,9.545989e-01
2.1877600000e-04,9.528941e-01
2.2080000000e-04,9.511926e-01
2.2284400000e-04,9.494945e-01
2.2490500000e-04,9.477997e-01
2.2698600000e-04,9.461049e-01
2.2908700000e-04,9.444168e-01
2.3120600000e-04,9.427287e-01
2.3334600000e-04,9.408801e-01
2.3550500000e-04,9.388611e-01
2.3768400000e-04,9.368453e-01
2.3988300000e-04,9.348363e-01
2.4210300000e-04,9.328306e-01
2.4434300000e-04,9.308317e-01
2.4660400000e-04,9.288327e-01
2.4888600000e-04,9.268437e-01
2.5118900000e-04,9.248547e-01
2.5351300000e-04,9.228725e-01
2.5585900000e-04,9.207364e-01
2.5822600000e-04,9.183396e-01
2.6061500000e-04,9.159495e-01
2.6302700000e-04,9.135661e-01
2.6546100000e-04,9.111894e-01
2.6791700000e-04,9.088193e-01
2.7039600000e-04,9.064560e-01
2.7289800000e-04,9.040960e-01
2.7542300000e-04,9.017460e-01
2.7797100000e-04,8.993993e-01
2.8054300000e-04,8.970627e-01
2.8313900000e-04,8.944487e-01
2.8575900000e-04,8.917042e-01
2.8840300000e-04,8.889698e-01
2.9107200000e-04,8.862421e-01
2.9376500000e-04,8.835244e-01
2.9648300000e-04,8.805326e-01
2.9922600000e-04,8.774539e-01
3.0199500000e-04,8.743852e-01
3.0478900000e-04,8.713265e-01
3.0761000000e-04,8.682813e-01
3.1045600000e-04,8.652126e-01
3.1332900000e-04,8.617427e-01
3.1622800000e-04,8.582896e-01
3.1915400000e-04,8.548499e-01
3.2210700000e-04,8.514235e-01
3.2508700000e-04,8.478100e-01
3.2809500000e-04,8.438755e-01
3.3113100000e-04,8.399577e-01
3.3419500000e-04,8.360634e-01
3.3728700000e-04,8.321857e-01
3.4040800000e-04,8.282045e-01
3.4355800000e-04,8.236416e-01
3.4673700000e-04,8.191054e-01
3.4994500000e-04,8.145960e-01
3.5318300000e-04,8.101099e-01
3.5645100000e-04,8.056540e-01
3.5974900000e-04,8.003857e-01
3.6307800000e-04,7.950774e-01
3.6643800000e-04,7.898058e-01
3.6982800000e-04,7.845676e-01
3.7325000000e-04,7.792827e-01
3.7670400000e-04,7.728812e-01
3.8018900000e-04,7.665366e-01
3.8370700000e-04,7.602488e-01
3.8725800000e-04,7.540145e-01
3.9084100000e-04,7.473824e-01
3.9445700000e-04,7.398577e-01
3.9810700000e-04,7.324133e-01
4.0179100000e-04,7.250458e-01
4.0550900000e-04,7.174209e-01
4.0926100000e-04,7.086026e-01
4.1304800000e-04,6.999013e-01
4.1686900000e-04,6.913136e-01
4.2072700000e-04,6.811783e-01
4.2462000000e-04,6.710663e-01
4.2854900000e-04,6.611148e-01
4.3251400000e-04,6.492078e-01
4.3651600000e-04,6.375247e-01
4.4055500000e-04,6.249692e-01
4.4463100000e-04,6.114007e-01
4.4874500000e-04,5.972473e-01
4.5289800000e-04,5.815763e-01
4.5708800000e-04,5.651699e-01
4.6131800000e-04,5.471723e-01
4.6558600000e-04,5.275333e-01
4.6989400000e-04,5.073896e-01
4.7424200000e-04,4.880817e-01
4.7863000000e-04,4.775051e-01
4.8305900000e-04,4.731761e-01
4.8752800000e-04,4.754960e-01
4.9204000000e-04,4.833817e-01
4.9659200000e-04,4.995708e-01
5.0118700000e-04,5.380498e-01
5.0582500000e-04,6.384941e-01
5.1050500000e-04,8.869207e-01
5.1522900000e-04,1.291660e+00
5.1999600000e-04,1.632692e+00
5.2480700000e-04,1.642583e+00
5.2966300000e-04,1.296447e+00
5.3456400000e-04,9.092639e-01
5.3951100000e-04,7.857911e-01
5.4450300000e-04,8.379922e-01
5.4954100000e-04,9.036514e-01
5.5462600000e-04,9.511291e-01
5.5975800000e-04,9.893974e-01
5.6493700000e-04,1.024564e+00
5.7016400000e-04,1.057300e+00
5.7544000000e-04,1.088017e+00
5.8076400000e-04,1.118851e+00
5.8613800000e-04,1.147435e+00
5.9156200000e-04,1.174070e+00
5.9703500000e-04,1.198727e+00
6.0256000000e-04,1.222089e+00
6.0813500000e-04,1.243417e+00
6.1376200000e-04,1.263316e+00
6.1944100000e-04,1.282504e+00
6.2517300000e-04,1.299054e+00
6.3095700000e-04,1.315420e+00
6.3679600000e-04,1.328471e+00
6.4268800000e-04,1.341655e+00
6.4863400000e-04,1.354090e+00
6.5463600000e-04,1.364469e+00
6.6069300000e-04,1.374935e+00
6.6680700000e-04,1.385485e+00
6.7297700000e-04,1.393692e+00
6.7920400000e-04,1.401658e+00
6.8548800000e-04,1.409667e+00
6.9183100000e-04,1.417730e+00
6.9823200000e-04,1.424285e+00
7.0469300000e-04,1.430586e+00
7.1121400000e-04,1.436918e+00
7.1779400000e-04,1.443279e+00
7.2443600000e-04,1.449667e+00
7.3113900000e-04,1.456089e+00
7.3790400000e-04,1.461123e+00
7.4473200000e-04,1.466174e+00
7.5162300000e-04,1.471241e+00
7.5857800000e-04,1.476326e+00
7.6559700000e-04,1.481434e+00
7.7268100000e-04,1.486558e+00
7.7983000000e-04,1.491699e+00
7.8704600000e-04,1.495661e+00
7.9432800000e-04,1.499080e+00
8.0167800000e-04,1.502507e+00
8.0909600000e-04,1.505943e+00
8.1658200000e-04,1.509389e+00
8.2413800000e-04,1.512843e+00
8.3176400000e-04,1.516306e+00
8.3946000000e-04,1.518993e+00
8.4722700000e-04,1.520969e+00
8.5506700000e-04,1.522944e+00
8.6297900000e-04,1.524923e+00
8.7096400000e-04,1.526906e+00
8.7902300000e-04,1.528891e+00
8.8715600000e-04,1.530877e+00
8.9536500000e-04,1.531896e+00
9.0364900000e-04,1.532598e+00
9.1201100000e-04,1.533290e+00
9.2045000000e-04,1.533952e+00
9.2896600000e-04,1.534618e+00
9.3756200000e-04,1.535279e+00
9.4623700000e-04,1.535945e+00
9.5499300000e-04,1.536610e+00
9.6382900000e-04,1.537278e+00
9.7274700000e-04,1.537295e+00
9.8174800000e-04,1.536931e+00
9.9083200000e-04,1.536566e+00
1.0000000000e-03,1.536202e+00
1.0092500000e-03,1.535841e+00
1.0185900000e-03,1.535477e+00
1.0280200000e-03,1.535116e+00
1.0375300000e-03,1.534755e+00
1.0471300000e-03,1.534390e+00
1.0568200000e-03,1.534029e+00
1.0666000000e-03,1.533046e+00
1.0764700000e-03,1.531699e+00
1.0864300000e-03,1.530355e+00
1.0964800000e-03,1.529012e+00
1.1066200000e-03,1.527668e+00
1.1168600000e-03,1.526327e+00
1.1272000000e-03,1.524987e+00
1.1376300000e-03,1.523600e+00
1.1481500000e-03,1.522202e+00
1.1587800000e-03,1.519371e+00
1.1695000000e-03,1.516566e+00
1.1803200000e-03,1.513765e+00
1.1912400000e-03,1.510971e+00
1.2022600000e-03,1.508179e+00
1.2133900000e-03,1.504796e+00
1.2246200000e-03,1.501093e+00
1.2359500000e-03,1.497402e+00
1.2473800000e-03,1.493718e+00
1.2589300000e-03,1.490045e+00
1.2705700000e-03,1.486381e+00
1.2823300000e-03,1.482724e+00
1.2942000000e-03,1.479077e+00
1.3061700000e-03,1.475440e+00
1.3182600000e-03,1.471810e+00
1.3304500000e-03,1.468189e+00
1.3427600000e-03,1.464549e+00
1.3551900000e-03,1.460912e+00
1.3677300000e-03,1.457282e+00
1.3803800000e-03,1.453665e+00
1.3931600000e-03,1.450055e+00
1.4060500000e-03,1.446455e+00
1.4190600000e-03,1.442861e+00
1.4321900000e-03,1.439278e+00
1.4454400000e-03,1.435704e+00
1.4588100000e-03,1.431262e+00
1.4723100000e-03,1.426692e+00
1.4859400000e-03,1.422139e+00
1.4996800000e-03,1.417600e+00
1.5135600000e-03,1.413070e+00
1.5275700000e-03,1.408537e+00
1.5417000000e-03,1.404014e+00
1.5559700000e-03,1.399508e+00
1.5703600000e-03,1.395019e+00
1.5848900000e-03,1.390543e+00
1.5995600000e-03,1.386080e+00
1.6143600000e-03,1.381631e+00
1.6293000000e-03,1.376838e+00
1.6443700000e-03,1.372014e+00
1.6595900000e-03,1.367207e+00
1.6749400000e-03,1.362410e+00
1.6904400000e-03,1.357613e+00
1.7060800000e-03,1.352833e+00
1.7218700000e-03,1.348069e+00
1.7378000000e-03,1.343323e+00
1.7538800000e-03,1.338596e+00
1.7701100000e-03,1.333883e+00
1.7864900000e-03,1.329186e+00
1.8030200000e-03,1.323744e+00
1.8197000000e-03,1.318008e+00
1.8365400000e-03,1.312298e+00
1.8535300000e-03,1.306612e+00
1.8706800000e-03,1.300953e+00
1.8879900000e-03,1.295317e+00
1.9054600000e-03,1.289704e+00
1.9230900000e-03,1.284105e+00
1.9408900000e-03,1.278519e+00
1.9588400000e-03,1.272960e+00
1.9769700000e-03,1.267424e+00
1.9952600000e-03,1.261912e+00
2.0137200000e-03,1.256219e+00
2.0323600000e-03,1.249968e+00
2.0511600000e-03,1.243747e+00
2.0701400000e-03,1.237560e+00
2.0893000000e-03,1.231382e+00
2.1086300000e-03,1.225238e+00
2.1281400000e-03,1.219124e+00
2.1478300000e-03,1.213041e+00
2.1677000000e-03,1.206987e+00
2.1877600000e-03,1.200963e+00
2.2080000000e-03,1.194969e+00
2.2284400000e-03,1.189006e+00
2.2490500000e-03,1.182701e+00
2.2698600000e-03,1.176049e+00
2.2908700000e-03,1.169437e+00
2.3120600000e-03,1.162862e+00
2.3334600000e-03,1.156323e+00
2.3550500000e-03,1.149822e+00
2.3768400000e-03,1.143357e+00
2.3988300000e-03,1.136928e+00
2.4210300000e-03,1.130537e+00
2.4434300000e-03,1.124166e+00
2.4660400000e-03,1.117076e+00
2.4888600000e-03,1.110012e+00
2.5118900000e-03,1.102992e+00
2.5351300000e-03,1.096019e+00
2.5585900000e-03,1.089090e+00
2.5822600000e-03,1.082203e+00
2.6061500000e-03,1.075361e+00
2.6302700000e-03,1.068562e+00
2.6546100000e-03,1.061796e+00
2.6791700000e-03,1.055067e+00
2.7039600000e-03,1.048381e+00
2.7289800000e-03,1.041261e+00
2.7542300000e-03,1.034040e+00
2.7797100000e-03,1.026870e+00
2.8054300000e-03,1.019750e+00
2.8313900000e-03,1.012677e+00
2.8575900000e-03,1.005657e+00
2.8840300000e-03,9.986737e-01
2.9107200000e-03,9.917341e-01
2.9376500000e-03,9.848446e-01
2.9648300000e-03,9.777010e-01
2.9922600000e-03,9.703569e-01
3.0199500000e-03,9.630696e-01
3.0478900000e-03,9.558358e-01
3.0761000000e-03,9.486588e-01
3.1045600000e-03,9.415319e-01
3.1332900000e-03,9.344519e-01
3.1622800000e-03,9.274220e-01
3.1915400000e-03,9.199041e-01
3.2210700000e-03,9.124429e-01
3.2508700000e-03,9.050386e-01
3.2809500000e-03,8.976979e-01
3.3113100000e-03,8.904139e-01
3.3419500000e-03,8.831935e-01
3.3728700000e-03,8.760265e-01
3.4040800000e-03,8.689097e-01
3.4355800000e-03,8.618531e-01
3.4673700000e-03,8.543284e-01
3.4994500000e-03,8.468673e-01
3.5318300000e-03,8.394730e-01
3.5645100000e-03,8.321389e-01
3.5974900000e-03,8.248717e-01
3.6307800000e-03,8.176713e-01
3.6643800000e-03,8.105244e-01
3.6982800000e-03,8.034377e-01
3.7325000000e-03,7.964145e-01
3.7670400000e-03,7.893712e-01
3.8018900000e-03,7.819669e-01
3.8370700000e-03,7.746295e-01
3.8725800000e-03,7.673656e-01
3.9084100000e-03,7.601685e-01
3.9445700000e-03,7.530384e-01
3.9810700000e-03,7.459750e-01
4.0179100000e-03,7.389786e-01
4.0550900000e-03,7.320423e-01
4.0926100000e-03,7.251695e-01
4.1304800000e-03,7.181663e-01
4.1686900000e-03,7.110228e-01
4.2072700000e-03,7.039461e-01
4.2462000000e-03,6.969429e-01
4.2854900000e-03,6.900099e-01
4.3251400000e-03,6.831472e-01
4.3651600000e-03,6.763513e-01
4.4055500000e-03,6.696222e-01
4.4463100000e-03,6.629299e-01
4.4874500000e-03,6.559836e-01
4.5289800000e-03,6.491075e-01
4.5708800000e-03,6.423016e-01
4.6131800000e-03,6.355692e-01
4.6558600000e-03,6.289103e-01
4.6989400000e-03,6.223183e-01
4.7424200000e-03,6.157965e-01
4.7863000000e-03,6.093416e-01
4.8305900000e-03,6.029568e-01
4.8752800000e-03,5.966390e-01
4.9204000000e-03,5.901506e-01
4.9659200000e-03,5.836589e-01
5.0118700000e-03,5.772374e-01
5.0582500000e-03,5.708827e-01
5.1050500000e-03,5.646016e-01
5.1522900000e-03,5.583840e-01
5.1999600000e-03,5.522399e-01
5.2480700000e-03,5.461594e-01
5.2966300000e-03,5.401490e-01
5.3456400000e-03,5.342022e-01
5.3951100000e-03,5.283222e-01
5.4450300000e-03,5.225091e-01
5.4954100000e-03,5.165155e-01
5.5462600000e-03,5.105787e-01
5.5975800000e-03,5.047087e-01
5.6493700000e-03,4.989056e-01
5.7016400000e-03,4.931694e-01
5.7544000000e-03,4.874967e-01
5.8076400000e-03,4.818875e-01
5.8613800000e-03,4.763484e-01
5.9156200000e-03,4.708696e-01
5.9703500000e-03,4.654543e-01
6.0256000000e-03,4.600991e-01
6.0813500000e-03,4.547841e-01
6.1376200000e-03,4.493687e-01
6.1944100000e-03,4.440169e-01
6.2517300000e-03,4.387286e-01
6.3095700000e-03,4.335038e-01
6.3679600000e-03,4.283425e-01
6.4268800000e-03,4.232414e-01
6.4863400000e-03,4.182005e-01
6.5463600000e-03,4.132164e-01
6.6069300000e-03,4.082958e-01
6.6680700000e-03,4.034287e-01
6.7297700000e-03,3.986251e-01
6.7920400000e-03,3.938750e-01
6.8548800000e-03,3.891817e-01
6.9183100000e-03,3.845452e-01
6.9823200000e-03,3.799656e-01
7.0469300000e-03,3.754395e-01
7.1121400000e-03,3.708531e-01
7.1779400000e-03,3.663003e-01
7.2443600000e-03,3.618042e-01
7.3113900000e-03,3.573616e-01
7.3790400000e-03,3.529759e-01
7.4473200000e-03,3.486403e-01
7.5162300000e-03,3.443615e-01
7.5857800000e-03,3.401295e-01
7.6559700000e-03,3.359544e-01
7.7268100000e-03,3.318280e-01
7.7983000000e-03,3.277528e-01
7.8704600000e-03,3.237277e-01
7.9432800000e-03,3.197522e-01
8.0167800000e-03,3.158257e-01
8.0909600000e-03,3.119471e-01
8.1658200000e-03,3.081165e-01
8.2413800000e-03,3.043328e-01
8.3176400000e-03,3.005956e-01
8.3946000000e-03,2.969045e-01
8.4722700000e-03,2.932588e-01
8.5506700000e-03,2.896580e-01
8.6297900000e-03,2.861012e-01
8.7096400000e-03,2.825883e-01
8.7902300000e-03,2.791171e-01
8.8715600000e-03,2.756888e-01
8.9536500000e-03,2.722938e-01
9.0364900000e-03,2.688985e-01
9.1201100000e-03,2.655457e-01
9.2045000000e-03,2.622347e-01
9.2896600000e-03,2.589651e-01
9.3756200000e-03,2.557363e-01
9.4623700000e-03,2.525476e-01
9.5499300000e-03,2.493990e-01
9.6382900000e-03,2.462895e-01
9.7274700000e-03,2.432188e-01
9.8174800000e-03,2.401866e-01
9.9083200000e-03,2.371921e-01
1.0000000000e-02,2.342351e-01
1.0092500000e-02,2.313151e-01
1.0185900000e-02,2.284313e-01
1.0280200000e-02,2.255836e-01
1.0375300000e-02,2.227710e-01
1.0471300000e-02,2.199931e-01
1.0568200000e-02,2.172497e-01
1.0666000000e-02,2.145407e-01
1.0764700000e-02,2.118654e-01
1.0864300000e-02,2.092233e-01
1.0964800000e-02,2.066145e-01
1.1066200000e-02,2.040383e-01
1.1168600000e-02,2.014941e-01
1.1272000000e-02,1.989816e-01
1.1376300000e-02,1.965006e-01
1.1481500000e-02,1.940507e-01
1.1587800000e-02,1.916311e-01
1.1695000000e-02,1.892420e-01
1.1803200000e-02,1.868827e-01
1.1912400000e-02,1.845528e-01
1.2022600000e-02,1.822519e-01
1.2133900000e-02,1.799795e-01
1.2246200000e-02,1.777355e-01
1.2359500000e-02,1.755192e-01
1.2473800000e-02,1.733303e-01
1.2589300000e-02,1.711689e-01
1.2705700000e-02,1.690345e-01
1.2823300000e-02,1.669265e-01
1.2942000000e-02,1.648453e-01
1.3061700000e-02,1.627898e-01
1.3182600000e-02,1.607597e-01
1.3304500000e-02,1.587554e-01
1.3427600000e-02,1.567761e-01
1.3551900000e-02,1.548213e-01
1.3677300000e-02,1.528911e-01
1.3803800000e-02,1.509847e-01
1.3931600000e-02,1.491024e-01
1.4060500000e-02,1.472435e-01
1.4190600000e-02,1.453842e-01
1.4321900000e-02,1.435240e-01
1.4454400000e-02,1.416874e-01
1.4588100000e-02,1.398743e-01
1.4723100000e-02,1.380842e-01
1.4859400000e-02,1.363172e-01
1.4996800000e-02,1.345726e-01
1.5135600000e-02,1.328504e-01
1.5275700000e-02,1.311499e-01
1.5417000000e-02,1.294715e-01
1.5559700000e-02,1.278145e-01
1.5703600000e-02,1.261785e-01
1.5848900000e-02,1.245639e-01
1.5995600000e-02,1.229698e-01
1.6143600000e-02,1.213960e-01
1.6293000000e-02,1.198426e-01
1.6443700000e-02,1.183089e-01
1.6595900000e-02,1.167950e-01
1.6749400000e-02,1.153004e-01
1.6904400000e-02,1.137881e-01
1.7060800000e-02,1.122815e-01
1.7218700000e-02,1.107950e-01
1.7378000000e-02,1.093278e-01
1.7538800000e-02,1.078804e-01
1.7701100000e-02,1.064520e-01
1.7864900000e-02,1.050427e-01
1.8030200000e-02,1.036521e-01
1.8197000000e-02,1.022795e-01
1.8365400000e-02,1.009257e-01
