E,photoelectric,compton,pair_triplet
0.001,4073.9983522638527,0.0109633683465214,0.0
0.00104881,3598.4570319555305,0.0123302852734403,0.0
0.0011,3173.253099605623,0.0138675548221236,0.0
0.00125,2254.2579400311056,0.0190055674711704,0.0
0.0014,1659.960708959715,0.0239765648307939,0.0
0.0015,1373.7139611351497,0.0276195852955042,0.0
0.00162019,1110.359557529794,0.0316991872378138,0.0
0.00175,895.8902352018997,0.0363809869995825,0.0
0.00187083,743.7018783048494,0.0404821434539913,0.0
0.002,615.5231651838874,0.045045514472883,0.0
0.0022,469.8083944107461,0.0514519851960702,0.0
0.0025,325.45182030746037,0.0614977540042652,0.0
0.00273861,250.07215093689308,0.0684965203949977,0.0
0.00286633,218.9318134678571,0.0722893321239104,0.0
0.003,191.67085471940064,0.0762919666734727,0.0
0.00324037,152.93167387002111,0.0825098902413884,0.0
0.0035,121.76780175057134,0.0892346045867152,0.0
0.004,81.89239065224807,0.1003965350211665,0.0
0.0045,57.55244893709787,0.1099682973541327,0.0
0.005,29550699.67231928,0.1181695132889302,0.0
0.0055,20241342.915717773,0.1251980763542703,0.0
0.006,42399194.66617986,0.1312217949140263,0.0
0.00648074,31148835.558243584,0.1359695803519911,0.0
0.007,22883673.029326905,0.1408891612152551,0.0
0.008,13379388.974173212,0.148254678126779,0.0
0.009,8321517.253553646,0.1540470751968928,0.0
0.01,5431865.944416576,0.1587386895135507,0.0
0.011,3688028.625062259,0.1623806320842175,0.0
0.0125,2191828.1713735,0.1673968656742743,0.0
0.014,1377035.5300388637,0.1710615084542397,0.0
0.015,1037659.7502847435,0.1733316658579538,0.0
0.0162019,755822.711653428,0.1754252334375047,0.0
0.0175,550004.8352618968,0.177543923214862,0.0
0.02,29009040.59012768,0.1805470912248979,0.0
0.022,21324110.350206446,0.1820477516303585,0.0
0.025,14113804.584696753,0.1840800924156893,0.0
0.0273861,10463409.566997077,0.1847554279593969,0.0
0.0286633,9020978.963013364,0.1850940398300291,0.0
0.03,7777516.772031901,0.1854332562741739,0.0
0.035,4685836.861971063,0.1854255678431598,0.0
0.0374166,3765722.75617087,0.1850132726953456,0.0
0.04,3026296.6993274414,0.1846019028858213,0.0
0.045,2057923.9012429113,0.1832895211396725,0.0
0.05,27217869.186008416,0.1816863161334245,0.0
0.055,19877670.95851743,0.1799122942468193,0.0
0.06,14918569.066823168,0.178043002671561,0.0
0.0648074,11566775.765036661,0.1761078741400382,0.0
0.07,8968032.236590495,0.1741937729703629,0.0
0.08,10320.252903848801,0.1703545716574441,0.0
0.09,3911544.77506989,0.166621002701067,0.0
0.1,2762387.058675698,0.1630341824931769,0.0
0.11,2016694.699764985,0.1594579159545735,0.0
0.11726,1633818.1281843686,0.1571037824208711,0.0
0.125,1324810.977016511,0.1547841617354201,0.0
0.14,913647.5601329779,0.1502282502865383,0.0
0.15,729661.2546805394,0.1475206001047355,0.0
0.162019,537690.5196959261,0.1442839101422148,0.0
0.175,418924.7862242034,0.1411184770272413,0.0
0.187083,338336.040137422,0.1382514574432444,0.0
0.2,273251.3849838138,0.1354427435407764,0.0
0.22,201991.88153121903,0.1312472869065014,0.0
