E_MeV,H_K_cm2g,O_K_cm2g,O_L1_cm2g,O_L2_cm2g,O_L3_cm2g
0.3,2.9508557483411887e-09,77258.94601398039,4.396529743236847e-06,2.524224610528127e-09,4.35692703998455e-09
0.324037,2.3300854268539003e-09,61274.43479797667,3.486360378897569e-06,1.9441490863176045e-09,3.3629170667031304e-09
0.336768,2.0709913050867225e-09,54618.00276941264,3.107913785682545e-06,1.7073439828147146e-09,2.959592005472503e-09
0.35,1.8448653861662457e-09,48714.849673536955,2.7743365809893654e-06,1.503140523617602e-09,2.6094382715665076e-09
0.374166,1.5111057921700496e-09,40093.19806724993,2.2818194328315984e-06,1.2061194231219952e-09,2.105275763976381e-09
0.386867,1.3704564185950478e-09,36388.32837867659,2.0727928846350146e-06,1.0828619492428952e-09,1.892978196793697e-09
0.4,1.2432929194322217e-09,0.02100839991060974,1.8829035886231502e-06,9.721945844263755e-10,1.706203622967949e-09
0.424264,1.0493363719050335e-09,2.798583975358133e-05,1.5939258950707289e-06,8.055319802065658e-10,1.422145258689058e-09
0.45,8.876311219152604e-10,2.3761763835483855e-05,1.3517679312120117e-06,6.68895487887501e-10,1.1914799180523712e-09
0.474342,7.672844902962893e-10,2.0555244237253854e-05,1.170360943241573e-06,5.68564214404512e-10,1.0203743544062056e-09
0.5,6.639714465093753e-10,1.783273524633241e-05,1.0149347562260467e-06,4.838300994351434e-10,8.757826859337003e-10
0.524404,5.843926219543239e-10,1.57097083456941e-05,8.942131094094671e-07,4.1957528450606817e-10,7.654574778691457e-10
0.55,5.153216666692261e-10,1.3867428915261663e-05,7.89386279313987e-07,3.6422986597857013e-10,6.704818182802969e-10
0.574456,4.602100966319828e-10,1.2396824422408418e-05,7.057062896207688e-07,3.209798516450124e-10,5.952881460303486e-10
0.6,4.120436408600085e-10,1.1102611508256851e-05,6.319011721630463e-07,2.830338123015275e-10,5.300208828184425e-10
0.623574,3.739749782764888e-10,1.0078990057723593e-05,5.740636610296191e-07,2.538630475160514e-10,4.787331300195493e-10
