E,photoelectric,compton,pair_triplet
0.001,4074.035575938399,0.0109633683465214,0.0
0.00104881,3598.457032005064,0.0123302852734403,0.0
0.0011,3173.2530996824526,0.0138675548221236,0.0
0.00125,2254.2579398571866,0.0190055674711704,0.0
0.0014,1659.960708753559,0.0239765648307939,0.0
0.0015,1373.7139609465596,0.0276195852955042,0.0
0.00162019,1110.3595576119098,0.0316991872378138,0.0
0.00175,895.8902351961843,0.0363809869995825,0.0
0.00187083,743.701878330309,0.0404821434539913,0.0
0.002,615.5231651527382,0.045045514472883,0.0
0.0022,469.80839442106605,0.0514519851960702,0.0
0.0025,325.45182027113196,0.0614977540042652,0.0
0.00273861,250.07215092506192,0.0684965203949977,0.0
0.00286633,218.93181344615428,0.0722893321239104,0.0
0.003,191.67085473328774,0.0762919666734727,0.0
0.00324037,152.93167384460608,0.0825098902413884,0.0
0.0035,121.76780174136658,0.0892346045867152,0.0
0.004,81.89239065503632,0.1003965350211665,0.0
0.0045,57.552448936080175,0.1099682973541327,0.0
0.005,41.860639049253145,0.1181695132889302,0.0
0.0055,31.358979206024795,0.1251980763542703,0.0
0.006,24.03691601465262,0.1312217949140263,0.0
0.00648074,18.98056405489791,0.1359695803519911,0.0
0.007,14.980263913359655,0.1408891612152551,0.0
0.008,9.90569709298891,0.148254678126779,0.0
0.009,6.866269482390326,0.1540470751968928,0.0
0.01,4.936460387682496,0.1587386895135507,0.0
0.011,3.6602300755913255,0.1623806320842175,0.0
0.0125,2.442030899218264,0.1673968656742743,0.0
0.014,1.7049271845090699,0.1710615084542397,0.0
0.015,1.3678624543720057,0.1733316658579538,0.0
0.0162019,1.069389030387367,0.1754252334375047,0.0
0.0175,0.8355663691473088,0.177543923214862,0.0
0.02,0.543304457168948,0.1805470912248979,0.0
0.022,0.3995357975481184,0.1820477516303585,0.0
0.025,0.2637866656268163,0.1840800924156893,0.0
0.0273861,0.19610285814822218,0.1847554279593969,0.0
0.0286633,0.16907967517176992,0.1850940398300291,0.0
0.03,0.1457256578004886,0.1854332562741739,0.0
0.035,0.08794140045056444,0.1854255678431598,0.0
0.0374166,0.07065801820725981,0.1850132726953456,0.0
0.04,0.056771713429841844,0.1846019028858213,0.0
0.045,0.03853445760681913,0.1832895211396725,0.0
0.05,0.027226199599091904,0.1816863161334245,0.0
0.055,0.019883350376445782,0.1799122942468193,0.0
0.06,0.014922577060535368,0.178043002671561,0.0
0.0648074,0.011569721748736595,0.1761078741400382,0.0
0.07,0.008970200987300479,0.1741937729703629,0.0
0.08,0.005772029475080771,0.1703545716574441,0.0
0.09,0.003912350773538147,0.166621002701067,0.0
0.1,0.0027629221090511987,0.1630341824931769,0.0
0.11,0.002017064916386732,0.1594579159545735,0.0
0.11726,0.0016341079402520306,0.1571037824208711,0.0
0.125,0.0013250381109527556,0.1547841617354201,0.0
0.14,0.0009137956606518711,0.1502282502865383,0.0
0.15,0.0007297756474989898,0.1475206001047355,0.0
0.162019,0.0005683818266684532,0.1442839101422148,0.0
0.175,0.00044287703674154887,0.1411184770272413,0.0
0.187083,0.00035765920967439224,0.1382514574432444,0.0
0.2,0.000288862344609421,0.1354427435407764,0.0
0.22,0.0002135232971423028,0.1312472869065014,0.0
0.234521,0.0001745288849732037,0.1285067504808747,0.0
0.25,0.00014296870234573343,0.1258235135032883,0.0
0.273861,0.00010779781427035592,0.1218304025934138,0.0
0.286633,9.382336526473401e-05,0.1198815344871281,0.0
0.3,8.166530776465522e-05,0.1179639313292049,0.0
0.324037,6.476843233239749e-05,0.1146293318171828,0.0
0.336768,5.773265448612002e-05,0.1129975931916399,0.0
0.35,5.149514369937338e-05,0.1113889856936977,0.0
0.374166,4.237984000142493e-05,0.10853989149895,0.0
0.386867,3.846546755927444e-05,0.1071428637923753,0.0
0.4,3.4977853899679935e-05,0.1057637284282386,0.0
0.424264,2.9583042663089256e-05,0.1032963851197409,0.0
0.45,2.5116279774675542e-05,0.1008865889284141,0.0
0.474342,2.1727961403635224e-05,0.0987205752584175,0.0
0.5,1.8849693588805505e-05,0.0966011243370671,0.0
0.524404,1.6605690881070348e-05,0.0946777852646204,0.0
0.55,1.4658365223959324e-05,0.0927926767482048,0.0
0.574456,1.3103907191427267e-05,0.0910685074066385,0.0
0.6,1.1735737775451155e-05,0.0893763391410624,0.0
0.623574,1.0654160287224252e-05,0.0878622831269197,0.0
0.648074,9.69336197803492e-06,0.0863738887190967,0.0
0.673537,8.82578380144693e-06,0.0849106852714669,0.0
0.7,8.054612944311337e-06,0.0834722926814393,0.0
0.748331,6.892936499591403e-06,0.0809574193717559,0.0
0.773735,6.385057381242319e-06,0.0797284849467349,0.0
0.8,5.923629906237374e-06,0.0785182688714735,0.0
0.848528,5.200783725988648e-06,0.0763679942163439,0.0
0.9,4.585801314393195e-06,0.0742765949089461,0.0
0.948683,4.104148521789033e-06,0.0724083890395848,0.0
1.0,3.6828790110500136e-06,0.070587150860998,0.0
1.022,3.5219548023240562e-06,0.0698376959769262,0.0
1.03,3.4660238344602517e-06,0.0695699380098694,1.346478266298385e-09
1.04881,3.34165164167377e-06,0.0689513228662047,4.39366319251802e-08
1.05,3.3340573017730476e-06,0.068912744297967,5.46600645958408e-08
1.1,3.0369456062254223e-06,0.0673362816604637,1.0311957671860169e-06
1.15,2.7780483545244326e-06,0.0658487373990368,4.001928626730641e-06
1.1726,2.673635299318033e-06,0.0652017381720524,5.945273819040621e-06
1.2,2.556178170323086e-06,0.0644420888030627,9.510321740775165e-06
1.25,2.361067491347843e-06,0.0631086474415274,1.7767295514405557e-05
1.3,2.1917221130851037e-06,0.0618423962814632,2.879457812222693e-05
1.32288,2.1218320221472894e-06,0.0612769425236236,3.3440342775788444e-05
1.4,1.910374549223856e-06,0.0594759770697656,5.435462928805996e-05
1.5,1.6902855206967089e-06,0.0573543582468748,9.82013208268315e-05
1.55893,1.58335822485859e-06,0.056162895826379,0.0001213835939194
1.62019,1.4844373909144308e-06,0.0549959101334456,0.0001500460364861
1.68384,1.3933037193257016e-06,0.0538534738991336,0.0001854661026301
1.75,1.310055028115941e-06,0.0527346140462185,0.0002292543045381
1.87083,1.178653478822541e-06,0.0507939953995695,0.0002993311253055
2.0,1.063705680923021e-06,0.0489248293389189,0.0003908263480202
2.044,1.0287173337231485e-06,0.0483211203645061,0.0004211588797689
2.05,1.0240934694018907e-06,0.0482402246990532,0.0004253306980051
2.09762,9.885930873849415e-07,0.0476086552329004,0.0004585819318131
2.1,9.868753067457492e-07,0.0475776825134019,0.0004602896732314
2.2,9.211546978226011e-07,0.0463131719983868,0.0005302517229652
2.25,8.911599709607787e-07,0.0457144079711112,0.0005677638332019
2.34521,8.383804167548428e-07,0.0446118068636121,0.0006343345036286
2.5,7.649483253754422e-07,0.0429632867864945,0.0007526202044346
2.73861,6.726643640751052e-07,0.0406559994319947,0.0009224622393558
3.0,5.941738719265043e-07,0.0384725745150316,0.0011306372653633
3.24037,5.356619959141023e-07,0.0366654740276527,0.0013045984302105
3.5,4.841109957289927e-07,0.0349432503999427,0.0015053260646764
3.74166,4.438828532006146e-07,0.0334821391461427,0.0016763849665537
4.0,4.0786444043064014e-07,0.0320821512238633,0.0018668780764791
4.5,3.517705672954999e-07,0.0297077297309774,0.0022114962855452
5.0,3.091705490087655e-07,0.0276997789737775,0.0025404113756845
5.5,2.7561910157424217e-07,0.0259766344437093,0.0028444102665846
6.0,2.4860065271806077e-07,0.0244788946541984,0.003155312031417
6.48074,2.2693256025051418e-07,0.02320479221382,0.0034210118441961
7.0,2.0766795453192276e-07,0.0219970022669196,0.0037090863177912
8.0,1.7808890955419326e-07,0.0200178329840812,0.0042109737232083
9.0,1.560253177735208e-07,0.0183978471414459,0.0046725269509662
10.0,1.3867526341997436e-07,0.0170442821474301,0.0050901758948374
11.0,1.2481954905254151e-07,0.0158942934354838,0.0054741628820512
12.0,1.1350439654414483e-07,0.0149036892412563,0.0058278975646224
12.5,1.0855544364005302e-07,0.0144577936703984,0.0059941314715359
13.0,1.0400369928473397e-07,0.0140404455781756,0.0061584332423076
14.0,9.592162181361188e-08,0.0132806948821371,0.0064662379065597
15.0,8.910260391831693e-08,0.0126062857703553,0.0067543869297844
16.0,8.318094695193889e-08,0.0120031450712783,0.0070274265146684
17.5,7.560580219167823e-08,0.011208462156067,0.0074038019551782
18.0,7.336993290914808e-08,0.0109685831084266,0.0075263722595236
20.0,6.557919904390787e-08,0.0101118913256884,0.0079743069359983
22.0,5.932528355989774e-08,0.0093896468018144,0.0083831308981837
24.0,5.416891646167475e-08,0.0087716640880841,0.0087560532303293
25.0,5.1906596049839736e-08,0.0084947468597321,0.0089285983362666
26.0,4.9822223928716175e-08,0.008236315293775,0.0090976869910436
28.0,4.610950458838431e-08,0.0077675884256013,0.0094152526198875
30.0,4.29019895370034e-08,0.0073534494176279,0.0097088838287049
35.0,3.6591722663215295e-08,0.0065010029859279,0.0103560558379202
40.0,3.1893426733220204e-08,0.0058379259529017,0.0109118892866877
45.0,2.8252545161686115e-08,0.0053061539504123,0.0114016490278791
50.0,2.5349294327073996e-08,0.0048693507849276,0.011834835287991
55.0,2.2998718552754612e-08,0.004503682320304,0.0122109499904055
60.0,2.105255029011057e-08,0.0041926685718026,0.0125649688106447
70.0,1.8000176029252444e-08,0.0036910485900728,0.0131697207374386
80.0,1.571622439688096e-08,0.0033032474725169,0.0136818638412694
90.0,1.3943414489254276e-08,0.0029937513534416,0.0141213412436285
100.0,1.2527734474779481e-08,0.0027405947197194,0.0145043253920143
110.0,1.1377209159353095e-08,0.0025289686564901,0.0148322697167072
125.0,1.000189238434263e-08,0.0022705574754772,0.0152837918994098
140.0,8.922328419328737e-09,0.0020623883240278,0.0156528176016037
150.0,8.322985739081936e-09,0.001945119561834,0.0158818248060566
175.0,7.1253416316960074e-09,0.0017055480514342,0.0163552650167215
200.0,6.228142256676497e-09,0.0015213332443359,0.0167420599526535
220.0,5.659454844355791e-09,0.0014016241543111,0.0169961688414378
250.0,4.978355164719641e-09,0.0012557213523708,0.0173430545766387
300.0,4.146304436721379e-09,0.0010726932378856,0.0177896253923074
350.0,3.552295605183425e-09,0.0009384532323792,0.0181344481804944
400.0,3.1069837252674373e-09,0.0008355285406728,0.0184102489149513
450.0,2.760762894846704e-09,0.0007539576304091,0.0186369105468396
500.0,2.4838807641082624e-09,0.0006876265275338,0.0188269618759164
550.0,2.2574112412832604e-09,0.0006325606474923,0.0189845379409488
600.0,2.068740635438841e-09,0.0005860757250217,0.0191296186341851
700.0,1.7723647809416745e-09,0.0005118054814253,0.0193592085554511
800.0,1.5501823382186692e-09,0.000454987976231,0.0195405151299483
