E_MeV,H_K_cm2g,O_K_cm2g,O_L1_cm2g,O_L2_cm2g,O_L3_cm2g
0.001,0.7627201391856676,3859.976342859126,177.7408061074429,11.92977069703496,23.62593613560913
0.00104881,0.650613581380552,3410.052076606403,157.59475801896866,10.109029779556842,20.05055401875497
0.0011,0.5545453314064496,3007.624464525982,139.53324273074085,8.56623874954468,16.974608344778588
0.00125,0.3612490136859708,2136.9926378989917,100.58723597868234,5.473348224795244,10.843468741031495
0.0014,0.24705615778764892,1573.8937331702418,74.90439682619737,3.661617443929796,7.253905155402159
0.0015,0.19592608349037186,1302.5215313031688,62.4762140300742,2.861103562356237,5.659185967470049
0.00162019,0.15104884332151602,1052.838911036054,50.918196879562956,2.1652846436575683,4.286116209314123
0.00175,0.11645315957956252,849.5066267427629,41.39516100848199,1.636914267617531,3.23508001774238
0.00187083,0.09295885467145368,705.2310922164453,34.563953609077764,1.2805340630879458,2.5333395870265165
0.002,0.07420485167568691,583.6405662481469,28.82803928687912,1.0015153610965764,1.9788394049398903
0.0022,0.05374940914624534,445.4727198187236,22.191549505051068,0.7024063159511494,1.3879693721940352
0.0025,0.03482217841858513,308.5535411131612,15.570179159008426,0.4346992977847082,0.8585785227590051
0.00273861,0.025551787904637933,237.06146278218748,12.06995563650433,0.30791953084094403,0.6072611876245482
0.00286633,0.021887738182826123,207.53418390387168,10.606499069902124,0.25866229116384004,0.5105804430338347
0.003,0.018749239227321118,181.6858255074534,9.320540377055721,0.21722759798205754,0.428512011569237
0.00324037,0.014425609628139853,144.95052622186617,7.486400737002326,0.1616988659368374,0.3186224101725825
0.0035,0.011088781316869608,115.40439392438574,5.995904341099683,0.11998452222909181,0.23643017233518634
0.004,0.007029877735286425,77.60163777839688,4.072083599085064,0.07125804728824812,0.14038135253084233
0.0045,0.004702792420746165,54.53034632048424,2.8842242920552055,0.04486184909217688,0.08831368202780063
0.005,0.0032822977095923354,39.66005225678101,2.109622125939823,0.029550657842577446,0.058131710980148396
0.0055,0.002369937562568274,29.70833574691411,1.5882328332403337,0.02024131157744453,0.03979937673033962
0.006,0.0017586164785512901,22.770384543549092,1.2223736839544184,0.014300824653302676,0.0280983460172536
0.00648074,0.0013502088620920892,17.978856962186455,0.9692080672405651,0.010512663707135677,0.02063615290166113
0.007,0.0010366459517810124,14.190008304720235,0.7663353046146051,0.007727946172273793,0.015155711900759254
0.008,0.0006558329854959031,9.381498380937579,0.5101634999844621,0.004525672548924538,0.008853706532450085
0.009,0.00043778968441392723,6.502782188898055,0.3547279934120458,0.0028178765362515796,0.005503633859559281
0.01,0.0003045643774638381,4.67454419015147,0.25617977213999354,0.001842557182165848,0.003589303831403006
0.011,0.00021934356716496583,3.466065533841377,0.19025717321440172,0.0012522783410975256,0.0024357466272844695
0.0125,0.00014122974228167903,2.3121101539433244,0.1275876898010042,0.0007458847532904528,0.0014459409783630932
0.014,9.559206699888267e-05,1.6142324910329575,0.08922206758241481,0.00046909303581191714,0.0009079407908865286
0.015,7.537545329989442e-05,1.2949855817914384,0.07176383874379266,0.00035370549928637223,0.000683952884188533
0.0162019,5.7802285286886217e-05,1.0123911127212228,0.056184293737772506,0.00025802086116335826,0.0004978007819214581
